gvkey,GIC_Industry,GIC_SubIndustry,suitflag,idbflag,restatementflag,Vol_capx_Variance,Vol_cogs_Variance,Vol_cshfd_Variance,Vol_dltt_Variance,Vol_dp_Variance,Vol_emp_Variance,Vol_epspi_Variance,Vol_ni_Variance,Vol_ppent_Variance,Vol_sale_Variance,Vol_teq_Variance,Vol_txt_Variance,Vol_wcap_Variance,Vol_xint_Variance,Vol_xsga_Variance,Vol_roa_Variance,Vol_roe_Variance,STD_at,StdDev_capx,StdDev_cogs,StdDev_cshfd,StdDev_dltt,StdDev_dp,StdDev_emp,StdDev_epspi,StdDev_ni,StdDev_ppent,StdDev_sale,StdDev_teq,StdDev_txt,StdDev_wcap,STD_xido,StdDev_xint,StdDev_xsga,StdDev_roa,StdDev_roe
110685,Aeorspace & Defense,Aerospace & Defense,1.0,D,1,0.07943267811180137,2.271031994292875,0.03948904890671435,0.08351257956594611,0.07141128160945846,1.4738859377784779,0.14234534144707667,0.09175703418216173,0.07641133619382659,2.3201327681812236,0.09556511686618224,0.49588079145311564,0.35184991394306203,0.06171192310510023,0.018102657185345015,0.04054031342278267,0.07155154037462384,0.013499943301190372,0.15696277140203527,0.7184405522246873,0.15694096205627672,0.029726456816128483,0.08432089378224619,1.2626807640357725,0.26238366945088587,0.06386643704979639,0.1289091110164837,0.7299109608394287,0.2382625319616945,0.14618545989492726,0.22122729892938248,0.043991938190676594,0.04652049267288763,0.20160695461535552,0.12554030052795392,0.24908901161817099
113530,Electrical Equipment,Electrical Components & Equipment,1.0,D,1,0.07899576670352047,0.13405112822748694,0.15178738096863706,0.0833862943176908,0.08943224790689194,0.2388262208906742,2.523773040481649,0.17017672869566963,0.08965972704585846,0.011802608573651348,0.9617788802194106,0.18049056310717615,0.004740996036338007,0.08628020400039853,0.10190099525445326,0.0864613062669552,0.15084171338422447,0.21302692125124267,0.21413271256883307,0.33681175969278715,0.15785433386748085,0.15092124750873698,0.31576889915975326,0.3231682073457854,0.48004823670625935,0.36298711051782656,0.2757606242400497,0.3549544792178576,0.3095495882565127,0.23476404741200824,0.30279234622564016,0.1448495064758634,0.13642621304739325,0.26218093630809064,0.1007001039678201,0.06296691926528414
114421,Machinery,Construction & Farm Machinery & Heavy Trucks,1.0,B,1,0.08555188551069358,0.15126959492081452,0.03948904890671435,0.08351257956594611,0.0907831831455963,0.21318665363937886,0.14234534144707667,0.09175703418216173,0.09088061391032386,0.11594016248909256,0.009469196575848162,0.18049056310717615,0.04756729630587909,0.08649120332591516,0.10932925935943578,0.04070287324140863,0.07146011887406757,,,,,,,,,,,,,,,,,,,
116284,Machinery,Industrial Machinary,1.0,D,1,0.08327554035830567,0.13467664772470153,0.2469599296482214,0.08351257956594611,0.08646324910303757,0.19623939170355464,0.1431873368756127,0.10842686170092548,0.09088061391032386,0.05574978975786625,0.009469196575848162,0.1094790861156184,0.04756510170582277,0.08632901167356075,0.1019843348305028,0.15083126691250764,0.18056619466966708,0.21107195068596069,0.21641034402161316,0.3578329974681784,0.22064649874972125,0.1519252584244057,0.31174989825264815,0.3618866942661085,0.2915075388529505,0.3690929284247777,0.2807382324240792,0.3703209266102149,0.30159543757645835,0.21971616606004363,0.26633588705071953,0.20650562459192917,0.14027689221430956,0.2664416376319077,0.12105795471537871,0.2361531044892579
11721,Machinery,Construction & Farm Machinery & Heavy Trucks,1.0,D,1,0.08555188551069358,1.2608814647909927,0.6907639597951235,0.08351257956594611,0.11994299282630905,0.11263812422356428,0.14234534144707667,3.0,0.09088061391032386,0.04083677868764051,0.009469196575848162,2.9330722390520343,0.04756729630587909,0.03868170615317117,0.021753114830770727,0.22414021438878495,0.5872837179175097,0.19451834130031,0.15207302375618043,0.20326579641316397,0.21644368725080892,0.11518385041384079,0.12603492499776606,0.22651855079264202,0.7184134309185741,0.5366204359270058,0.23284096204322272,0.3990806062894609,0.017053392302216752,0.4300628758576366,0.39145631047498824,0.18408912469863015,0.05711813915867133,0.09271708504179693,0.1211153524507287,0.2060102540004382
138601,Electrical Equipment,Heavy Electrical Equipment,1.0,D,1,0.08555188551069358,0.15126959492081452,0.4741970348682545,0.08351257956594611,0.0907831831455963,0.24177832458272103,0.021939995166424524,0.09175703418216173,0.09088061391032386,0.11594016248909256,0.009469196575848162,0.18049056310717615,0.04756729630587909,0.08649120332591516,0.10932925935943578,0.04070287324140863,0.07146011887406757,0.21999487838310625,0.22162046891060616,0.3564311959815836,0.0028101939604730304,0.1519252584244057,0.3135591397692413,0.3567347823895043,0.3382819478076731,0.39333103379776296,0.28059481627516997,0.37655781890620726,0.32845214694420594,0.23467691763034157,0.3261218515822554,0.20650562459192917,0.13996869930455064,0.2618016683987745,0.11872406527399273,0.2157363344215351
143710,Electrical Equipment,Heavy Electrical Equipment,1.0,D,1,0.08555188551069358,0.07628648772470814,0.03948904890671435,0.08351257956594611,0.08664371365945316,0.21417068820339447,0.14234534144707667,0.09175703418216173,0.09088061391032386,0.075863039523995,0.009469196575848162,0.17713876728346623,0.04756729630587909,0.08649120332591516,0.09542916451750919,0.04070287324140863,0.07146011887406757,0.20976527012175772,0.21584779050381667,0.34735876003715477,0.2225521087082609,0.1469224628792466,0.276142435019407,0.30293625169346167,0.3212816250997396,0.297315767198348,0.2692255150823984,0.3607625842479716,0.28902232213083906,0.14911148837409263,0.28411535437223157,0.13112639020477557,0.13089012982050713,0.250911446671099,0.11764527238342469,0.2259581378075849
143912,Aeorspace & Defense,Aerospace & Defense,1.0,D,1,0.08555188551069358,0.1509028047924478,0.03948904890671435,0.08351257956594611,0.09118795393032508,0.23491741692805673,0.14234534144707667,0.09175703418216173,0.09068124105537849,0.11594016248909256,0.009469196575848162,0.18049056310717615,0.04756729630587909,0.08649120332591516,0.10984191605753225,0.04070287324140863,0.07146011887406757,0.21610351058980456,0.21892222553390764,0.35652269913406753,0.1989416006141029,0.15190297282023527,0.29732608363915936,0.35043089715988857,0.31477033163030316,0.3571772252753139,0.2611444026845546,0.36433736173263725,0.3164546752250892,0.20860680922355296,0.30755480733930146,0.20650562459192917,0.14040966888738907,0.2542174915052786,0.11732002924701604,0.22393019740773265
148223,Construction & Engineering,Construction & Engineering,1.0,D,1,0.05464009741444972,0.05520448625858456,0.04332678117167482,0.08351025189753182,0.055810783430277136,0.19413465110829906,0.1354650359453251,0.09162158259823648,0.03229562547683019,0.0019032270764605202,0.009469196575848162,0.23677969028113818,0.04756729630587909,0.08627194424032493,0.09504007122869751,0.04073438934397258,0.07152270877526054,0.20309011794481743,0.12479424169434386,0.3246981411141034,0.22175195962762018,0.13269760244347661,0.2330470664484384,0.326796878251219,0.21267634768931734,0.29740990185508076,0.23554898676571695,0.35025650922777013,0.31236013292155496,0.19542982478716928,0.23461665051940578,0.11184707894766742,0.1232793478102022,0.24106369702940253,0.12261002811383379,0.2280013445879021
150720,Electrical Equipment,Electrical Components & Equipment,1.0,D,1,0.08555188551069358,0.14499790073874186,0.03948904890671435,0.08351257956594611,0.08966776944662079,0.2280291749799475,0.14234534144707667,0.09175703418216173,0.09088061391032386,0.06375926755667319,0.009469196575848162,0.16138682995948433,0.04756729630587909,0.08649120332591516,0.10886366191721586,0.04070287324140863,0.07146011887406757,0.2156261284040163,0.22455537676160509,0.34524318696270184,0.2182706769569173,0.1519252584244057,0.30759403133031155,0.28031780107334087,0.2539933505482194,0.32172811788226485,0.2800985985030332,0.35935300790626695,0.32144088504465296,0.22433241246639826,0.31525131204266227,0.09083594227830263,0.14044348939599943,0.26991281080348106,0.10505677037749402,0.19371687908005844
