gvkey,tic,conm,GIC_Industry,GIC_SubIndustry,suitflag,idbflag,restatementflag,Vol_capx_Variance,Vol_cogs_Variance,Vol_cshfd_Variance,Vol_dltt_Variance,Vol_dp_Variance,Vol_emp_Variance,Vol_epspi_Variance,Vol_ni_Variance,Vol_ppent_Variance,Vol_sale_Variance,Vol_teq_Variance,Vol_txt_Variance,Vol_wcap_Variance,Vol_xint_Variance,Vol_xsga_Variance,Vol_roa_Variance,Vol_roe_Variance,STD_at,StdDev_capx,StdDev_cogs,StdDev_cshfd,StdDev_dltt,StdDev_dp,StdDev_emp,StdDev_epspi,StdDev_ni,StdDev_ppent,StdDev_sale,StdDev_teq,StdDev_txt,StdDev_wcap,STD_xido,StdDev_xint,StdDev_xsga,StdDev_roa,StdDev_roe
187131,ESCO,ESCO CORP  -REDH,Machinery,Industrial Machinary,No,D,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
187169,PSIX,POWER SOLUTIONS INTL INC,Electrical Equipment,Heavy Electrical Equipment,No,D,1,0.541,82.906,0.0,5.676,0.988,-0.361,0.0,1.569,2.883,100.521,5.356,0.366,6.266,2.131,12.561,0.028345347135656604,0.2929424943988051,53.292109336967826,2.6357711711502323,85.33054245061768,4.662373885693853,15.064392564366255,0.6420131748388553,0.15205782891167866,1.1959236318985142,11.508809998576455,5.582122117379137,104.84070382688523,21.109268207353853,2.1154710074433383,35.03536503187411,0.0,0.5755223714157426,12.429579035510415,0.10098495771103523,0.30917065747971006
187450,ENPH,ENPHASE ENERGY INC,Electrical Equipment,Electrical Components & Equipment,No,D,1,0.0,0.0,-38.538999999999994,0.0,0.0,-0.39799999999999996,-28.41,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,28.566275063438,5.4186168822557175,48.88395936296486,1.1255775924682698,11.795424292919693,2.4470879803009398,0.18625497756212225,0.18339392937971888,7.217781769121779,9.007842953041903,77.87181033382147,17.593128715495716,0.44554124388209,14.883238567260825,0.0,1.1863280532803733,29.115845438237464,0.05940554384516215,0.8424404742769905
18748,VJET,VOXELJET AG,Machinery,Industrial Machinary,No,B,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.33547425470739,8.546120893910485,2.294500018159366,0.0,0.346449130465066,0.22371931819432447,0.061199128534100325,3.6186922131252524,2.259062932574773,8.96051105313382,3.4249161060284883,35.277579315102294,0.23121490724720442,26.13198277972798,0.0,0.023180451534284954,2.9452192334923617,0.03489761202129704,0.117358056900026
187696,PRLB,PROTO LABS INC,Machinery,Industrial Machinary,No,D,1,0.0,0.0,-10.137000000000004,0.0,0.0,-0.7490000000000001,-0.06999999999999995,0.0,0.0,0.0,-66.894,0.0,0.0,0.0,0.0,0.0,-1.273056688685262,90.86900969481655,5.701492991606087,13.521039420103765,1.3081670064126596,0.4933575444509455,1.836839858742908,0.3283925496515819,0.39101364000078903,10.306500905577346,15.66586761880746,41.59023133200872,88.46109418787825,4.8081682236239045,42.917751776896864,0.0,0.0,11.795607049519186,0.08148183189238672,0.1380910271331926
18799,IAUS,INTL AUTOMATED SYSTEMS INC,Electrical Equipment,Heavy Electrical Equipment,No,D,1,0.0,0.0,0.0,0.0,0.0,-0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
188355,LIQT,LIQTECH INTERNATIONAL INC,Machinery,Industrial Machinary,No,D,1,1.307,10.904000000000002,-96.72400000000002,1.3219999999999998,1.1520000000000001,-0.087,0.0,0.017,6.422999999999999,15.729000000000001,7.781,0.145,3.035,0.215,3.6220000000000003,4.8,-2.1827190827190828,9.586283060533244,0.7488190702699818,6.543270709922778,42.408466280331346,0.5343852386933357,0.7738432227094408,0.041432676315520174,0.11324751652906125,2.6196153661686035,3.2111842441691194,9.151326388380355,7.181506434353914,0.9346933097724266,4.086342822948983,0.0,0.09240129869217206,3.3641412970722064,2.3475577831181194,1.1689619592069913
18844,CLNT,CLEANTECH SOLUTIONS INTL INC,Machinery,Industrial Machinary,No,B,1,0.0,0.0,-22.857,0.0,0.0,-0.233,5.58,0.0,0.0,0.0,0.0,0.0,0.001000000000000334,0.0,0.0,0.0,0.0,12.777795385615898,4.022573140002138,8.36523675696032,12.86206099024051,0.17963017563872724,1.6182270905737142,0.010436314802968857,1.0272090017777946,3.0007051393519717,6.760972630965657,11.646896754071445,12.136991894617056,1.1226143594306999,3.3019285273912273,0.0,0.07890659034580066,0.9530542132183947,0.044203505262860175,0.05341335938233698
189490,XLS,EXELIS INC,Aeorspace & Defense,Aerospace & Defense,No,D,1,0.0,0.0,4.099999999999994,0.0,0.0,-20.5,-0.06000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.33034012508375,17.644640357154728,378.3917722854624,3.756217068629911,324.5,12.569805089976535,1.5556349186104046,0.7817235231631876,139.11865439257238,23.0,494.97003276292736,785.4083332891241,38.440430105120655,200.88636920740376,69.5,18.920887928424502,59.35486500700678,0.03764834930507282,0.0895329378759689
189491,XYL,XYLEM INC,Machinery,Industrial Machinary,No,D,1,0.0,0.0,1.5699999999999932,0.0,0.0,-12.7,-0.020000000000000018,0.0,0.0,0.0,4.0,0.0,-687.0,0.0,0.0,-0.00016477812193008146,-0.0003336086501494473,504.47290974507905,15.176736583776279,146.626509654064,1.5765350191691383,599.834074279435,23.471614061812335,0.44347115652166935,0.23641418457162572,42.24038352098617,17.146428199482248,304.789954996333,376.43802057355117,20.281354326901674,221.58425786443706,0.0,27.729346668586814,104.78708571829515,0.017093243717244213,0.022870253707733268
