GIC_Industry,GIC_SubIndustry,suitflag,stko,restatementflag,Vol_roe_Variance,Vol_capx_Variance,Vol_cogs_Variance,Vol_cshfd_Variance,Vol_dltt_Variance,Vol_dp_Variance,Vol_emp_Variance,Vol_epspi_Variance,Vol_ni_Variance,Vol_ppent_Variance,Vol_sale_Variance,Vol_teq_Variance,Vol_txt_Variance,Vol_wcap_Variance,Vol_xint_Variance,Vol_xsga_Variance,Vol_roa_Variance,STD_at,StdDev_capx,StdDev_cogs,StdDev_cshfd,StdDev_dltt,StdDev_dp,StdDev_emp,StdDev_epspi,StdDev_ni,StdDev_ppent,StdDev_sale,StdDev_teq,StdDev_txt,StdDev_wcap,STD_xido,StdDev_xint,StdDev_xsga,StdDev_roa,StdDev_roe,Foreign_and_Domestic_indicator
Aeorspace & Defense,Aerospace & Defense,1.0,0,1,0.0255739905303885,0.08711377199076499,0.10374963172139548,0.1044718454634758,0.1214538938074901,0.07203402710571995,1.4158580570871753,0.11081189206204332,0.07337648294083231,0.08508070812795063,0.0019931727701915183,0.09434939188969088,0.08456766637146466,0.12306625287690673,0.0714495556435292,0.07757607843268048,0.07512715704611461,0.02690571955916411,0.1501474741866481,0.13706041024595578,0.13762135904355718,0.3412953820430945,0.18769678432712414,0.2512630683425313,0.12853103774154082,0.5212462430158196,0.04071059784888639,0.08250732865962881,0.37307160892726504,0.26007905235071865,0.3788135914639156,0.13907026990560115,0.07210289421125311,0.08582579821820448,0.12514214744649174,0.264985644839736,0
Industrial Congolomerates,Industrial Conglomerates,1.0,3,0,0.0255739905303885,0.08711377199076499,0.10374963172139548,0.1044718454634758,0.07320937008143913,0.07203402710571995,0.3603846458493765,0.11081189206204332,0.07337648294083231,0.08508070812795063,0.0019931727701915183,0.09434939188969088,0.08456766637146466,0.12306625287690673,0.0714495556435292,0.07757607843268048,0.07512715704611461,0.8364081514680834,1.915278118461694,2.8859258155499763,0.14264420301713202,0.16849698945403815,3.0,0.3200368520456149,0.049882611654264455,2.6541099516240765,1.2064326638120833,3.0,0.9820974163762436,0.6528613425857479,1.3564509241133365,0.31853695933398835,0.034960577512232374,3.0,0.1254004259646082,0.26704311681621395,1
Machinery,Construction & Farm Machinery & Heavy Trucks,1.0,0,1,0.0255739905303885,0.08063421755660077,0.0814973883637774,0.1044718454634758,0.10637953835656873,0.062186753529278486,0.63323475706604,0.11081189206204332,0.07337648294083231,0.08508070812795063,0.09015913694030736,0.09434939188969088,0.049136348485253084,0.12306625287690673,0.0714495556435292,0.07150284160123681,0.07512715704611461,0.0697069992927017,0.6410203351519759,0.1311363827215516,0.2810249581694603,0.015395065509888256,0.15839056774641413,0.4888727198287746,0.1261717980396762,0.13971776742765518,0.4261189446230363,0.1559249157924735,0.035234581961258706,0.05867202640990196,0.3788135914639156,0.1698409271188967,0.10630287080775716,0.1327982084174845,0.1251823511699951,0.2684034358164211,0
Aeorspace & Defense,Aerospace & Defense,1.0,0,1,0.02555666897446968,0.08036423612184394,2.3695446383100345,0.1044718454634758,0.07320937008143913,0.05052848711119259,3.0,0.11081189206204332,0.07337648294083231,0.10138916925000002,0.7833401462592219,0.10848771695537368,0.8012152807838245,0.10854855977723407,0.043935316674253655,0.02423132159200328,0.07536228282181373,0.01636353170042837,0.186839344716537,0.4827508399693962,0.13190708145191485,0.0609485444882751,0.107235730445507,1.2597909255158832,0.2579221090029304,0.0201583533683586,0.12905097726341536,0.4330207951919862,0.2344338857909457,0.15138344771711318,0.2823542306073,0.04582313838292393,0.07917491650865446,0.2250221596008734,0.12576884128786045,0.2736501127746548,0
Electrical Equipment,Electrical Components & Equipment,1.0,0,1,0.06769333439247331,0.07988231926080297,0.0861686933275276,0.07240074959405328,0.07306867060866128,0.07053429865873317,0.34197631238257953,3.0,0.19475127843346127,0.0837198618722433,0.04296543854201825,0.06514505317627674,0.08456766637146466,0.0927336206812394,0.07121526772988172,0.06928625685430169,0.2590568427505921,0.2233064177791348,0.2375991157808742,0.29355584328296763,0.13401822731002985,0.17951809962555887,0.2870324030270935,0.3226747280809729,0.2920291537212281,0.34738796180891496,0.2592589096062524,0.2994064826604873,0.3376235269340116,0.2546685778752081,0.3401322126928824,0.14396221820465996,0.12765964081658548,0.2757463163556569,0.11355530951000015,0.05383059156528647,0
Machinery,Construction & Farm Machinery & Heavy Trucks,1.0,0,1,0.0255739905303885,0.08711377199076499,0.10374963172139548,0.1044718454634758,0.07320937008143913,0.07203402710571995,0.2914879591900193,0.11081189206204332,0.07337648294083231,0.08508070812795063,0.0019931727701915183,0.09434939188969088,0.08456766637146466,0.12306625287690673,0.0714495556435292,0.07757607843268048,0.07512715704611461,,,,,,,,,,,,,,,,,,,,1
Machinery,Industrial Machinary,1.0,3,1,0.004901752802099915,0.08460294464752635,0.08680738084486356,0.1604064472859585,0.07320937008143913,0.06723829168694034,0.2581161265893932,0.22425460268307087,0.23645996279464826,0.08508070812795063,0.05706107442358106,0.09434939188969088,0.008429701047094543,0.12306498026804595,0.07126946244300303,0.06937926246181703,0.08416204619788498,0.2215204607281788,0.2396213681875147,0.3090203224326229,0.27915454221168395,0.18050036236922545,0.28391030660193195,0.3613106113311116,0.2794954123863773,0.35406755496353026,0.26367237498654145,0.30978086165559393,0.32931733820521186,0.2386291222868981,0.2968253408667296,0.20395647347146748,0.13201311369140406,0.27931419279030995,0.12356494274427535,0.26453775620627884,0
Machinery,Construction & Farm Machinery & Heavy Trucks,1.0,0,1,0.07215867914480034,0.08711377199076499,1.3381290921982745,0.570790364218255,0.07320937008143913,0.10440552415011377,0.3501124353252441,0.11081189206204332,3.0,0.08508070812795063,0.026081861123172224,0.09434939188969088,3.0,0.12306625287690673,0.0675390393921748,0.06870971307252795,0.19019577142434227,0.2063979642946788,0.18249785920858755,0.1037574926317533,0.2694402637770676,0.14455482066702907,0.13964060686810495,0.226231268024345,0.4685965108881292,0.6367574058792033,0.22120359544007154,0.209666665668599,0.032181914903125726,0.4539668546007411,0.4845704126212047,0.1821441820415191,0.09115632667368843,0.13383867357423898,0.12359316430294848,0.2433044249134583,0
Electrical Equipment,Heavy Electrical Equipment,1.0,0,1,0.0255739905303885,0.08711377199076499,0.10374963172139548,0.3705317435381933,0.07320937008143913,0.07203402710571995,0.3477894703194627,0.030481208131679538,0.07337648294083231,0.08508070812795063,0.0019931727701915183,0.09434939188969088,0.08456766637146466,0.12306625287690673,0.0714495556435292,0.07757607843268048,0.07512715704611461,0.22967197253039826,0.2442473086937379,0.3079890734598921,0.2373379370791778,0.18050036236922545,0.28531578686973263,0.3561696907628803,0.31414322999024674,0.3805833609042741,0.2635452130676472,0.3139915866708286,0.3573626827826559,0.2545757067107714,0.3678454882306645,0.20395647347146748,0.13166467919071276,0.27542872051092954,0.12241740621857294,0.2501557042189229,0
Electrical Equipment,Heavy Electrical Equipment,1.0,0,1,0.0255739905303885,0.08711377199076499,0.02718803005994276,0.1044718454634758,0.07320937008143913,0.06743863277004726,0.29342567850231377,0.11081189206204332,0.07337648294083231,0.08508070812795063,0.014847524682517156,0.09434939188969088,0.0801781197666729,0.12306625287690673,0.0714495556435292,0.062063799314222026,0.07512715704611461,0.22032674691558804,0.2391218908889204,0.30131484723219365,0.283559123699534,0.17560593383114734,0.2562492196205787,0.30248593614512725,0.17442389213787096,0.2755453582501372,0.2534644643712409,0.3033277197094461,0.316187756682174,0.16337197707270498,0.3179456890808995,0.13060899121307626,0.1214006960652139,0.2663093379217012,0.12188698081639122,0.2573561824147914,0
Aeorspace & Defense,Aerospace & Defense,1.0,0,1,0.0255739905303885,0.08711377199076499,0.10337512017137497,0.1044718454634758,0.07320937008143913,0.07248337970455296,0.3342792606698544,0.11081189206204332,0.07337648294083231,0.08485847967170389,0.0019931727701915183,0.09434939188969088,0.08456766637146466,0.12306625287690673,0.0714495556435292,0.07814819494578748,0.07512715704611461,0.22611702604080355,0.2418516054048805,0.3080563886488851,0.2289863574289613,0.18047855949999853,0.2727053974509155,0.3498792545106861,0.2967271640881794,0.34103211067047745,0.2462992339064285,0.3057411660644924,0.34483422206122283,0.22678771874138734,0.3457895721209272,0.20395647347146748,0.13216322737774455,0.2690777928213299,0.1217270639102411,0.2559276536043483,0
Construction & Engineering,Construction & Engineering,1.0,0,1,0.025562131673698654,0.05301781659532345,0.005662224330738087,0.10802058205000614,0.0732067767324675,0.033209736192441885,0.25397156028254125,0.102738000622402,0.07316683651973782,0.019779684363321847,0.03856942351737519,0.09434939188969088,0.15828449164027708,0.12306625287690673,0.07120609631689198,0.061629577550427986,0.07508157229998852,0.21422868318597316,0.15827770602821425,0.2846443413087008,0.28170967816514403,0.16168920222807806,0.2227712734179356,0.32629565742524225,0.2211017566679857,0.27564833891846136,0.2236047031447804,0.2962347332027014,0.3405584618324793,0.21274244208670173,0.25914584752114417,0.10581543472876873,0.1127961534373342,0.2580629129295138,0.12432807268681476,0.2587954652219136,0
Electrical Equipment,Electrical Components & Equipment,1.0,3,1,0.0255739905303885,0.08711377199076499,0.09734591000772352,0.1044718454634758,0.07320937008143913,0.07079576075024559,0.3207152254837935,0.11081189206204332,0.07337648294083231,0.08508070812795063,0.018729693182236898,0.09434939188969088,0.059549219130700826,0.12306625287690673,0.0714495556435292,0.07705647928154584,0.07512715704611461,0.22568091508555424,0.24685314049225215,0.2997585052104241,0.27366312428530304,0.18050036236922545,0.2806818880069683,0.2799157406915617,0.12458057149223888,0.3022517836629746,0.26310523469300595,0.30237606974000336,0.3500411135910182,0.24354955443861456,0.3549323015642496,0.09140452146094988,0.13220146392264104,0.2822209248088691,0.11569741347891507,0.23464468311206185,0
Electrical Equipment,Electrical Components & Equipment,1.0,0,1,0.2827036297940416,0.13264436636543514,0.10779946596175533,0.3741695697461429,0.07320937008143913,0.06956202187687534,0.12828893266566704,2.6343111974160007,0.2950142082063266,0.02603958077150137,0.002591636783946878,0.4977283160484405,0.08456766637146466,0.12072465257315056,0.0714495556435292,0.07720053528561535,0.032638081116763584,0.02140112617598756,0.7873564499364035,0.29938926334899635,0.2385104335300256,0.07051099129151693,0.004726766302682785,0.10138703685307314,0.17319799119544632,0.1971765417210441,1.2102619570967863,0.2872316218943811,0.0665312454957417,0.1983357522867736,0.16537003972858985,0.20395647347146748,0.08570286436143941,0.07747976393956131,0.12321320488714613,0.2446852568011432,1
