Date,Month,Sub-Category,Description,Account Name,Transaction Type,Count,Amount,Transfer Type
2020-09-10,2020-09-10,Transfer,Transfer from *********-09S 09/10/2020 08:21 937078,SAFETY NET,credit,1,-800.0,In
2020-09-10,2020-09-10,Transfer,Transfer to *********-00S 09/10/2020 08:21 937078,CHECKING,debit,1,-800.0,Out
2020-09-10,2020-09-10,Transfer,Transfer to *********-09S 09/10/2020 07:07 935231,CREDIT CARD,debit,1,-600.38,Out
2020-09-11,2020-09-11,Transfer,DISCOVER DESC: E-PAYMENT,CHECKING,debit,1,-1000.0,Out
2020-09-11,2020-09-11,Transfer,Transfer from *********-09S 09/11/2020 16:10 975222,EMERSYN,credit,1,-10.0,In
2020-09-11,2020-09-11,Transfer,Transfer from *********-09S 09/11/2020 16:43 976361,SAFETY NET,credit,1,-10.0,In
2020-09-11,2020-09-11,Transfer,Transfer to *********-00S 09/11/2020 16:43 976361,CHECKING,debit,1,-10.0,Out
2020-09-11,2020-09-11,Transfer,Transfer to *********-03S 09/11/2020 16:10 975222,CHECKING,debit,1,-10.0,Out
2020-09-16,2020-09-16,Transfer,Transfer from *********-00S 09/16/2020 09:01 58920,CHECKING,credit,1,-93.8,In
2020-09-16,2020-09-16,Transfer,Transfer to *********-09S 09/16/2020 09:01 58920,SAFETY NET,debit,1,-93.8,Out
2020-09-17,2020-09-17,Transfer,CITIZENM BOSTON BOSTON MA,Discover,debit,1,-1.0,Out
2020-09-17,2020-09-17,Transfer,Citizenm Boston Boston,Discover,credit,1,-1.0,In
2020-09-18,2020-09-18,Transfer,Direct Deposit Online Deposit,SAFETY NET,credit,1,-5698.0,In
2020-09-18,2020-09-18,Transfer,Transfer from *********-08S 09/18/2020 17:25 114629,CHECKING,credit,1,-207.91,In
2020-09-18,2020-09-18,Transfer,Transfer from *********-09S 09/18/2020 16:10 112334,EMERSYN,credit,1,-10.0,In
2020-09-18,2020-09-18,Transfer,Transfer to *********-03S 09/18/2020 16:10 112334,CHECKING,debit,1,-10.0,Out
2020-09-18,2020-09-18,Transfer,Transfer to *********-09S 09/18/2020 17:25 114629,HOLIDAY CLUB SAVINGS,debit,1,-207.91,Out
2020-09-19,2020-09-19,Transfer,Transfer from *********-00S 09/19/2020 17:53 131909,CHECKING,credit,1,-100.0,In
2020-09-19,2020-09-19,Transfer,Transfer to *********-09S 09/19/2020 17:53 131909,SAFETY NET,debit,1,-100.0,Out
2020-09-21,2020-09-21,Transfer,Transfer from *********-00S 09/21/2020 15:50 160014,CHECKING,credit,1,-100.0,In
2020-09-21,2020-09-21,Transfer,Transfer from *********-03S 09/21/2020 09:18 152649,CHECKING,credit,1,-30.26,In
2020-09-21,2020-09-21,Transfer,Transfer to *********-09S 09/21/2020 09:18 152649,EMERSYN,debit,1,-30.26,Out
2020-09-21,2020-09-21,Transfer,Transfer to *********-09S 09/21/2020 15:50 160014,SAFETY NET,debit,1,-100.0,Out
2020-09-22,2020-09-22,Transfer,*********-00s 09/22/2020 13:32 176434,VISA STARTER,credit,1,-105.8,In
2020-09-22,2020-09-22,Transfer,Payment to*********-01L 09/22/2020 13:32 176434,SAFETY NET,debit,1,-105.8,Out
2020-09-22,2020-09-22,Transfer,Transfer from *********-00S 09/22/2020 13:32 176443,CREDIT CARD,credit,1,-692.2,In
2020-09-22,2020-09-22,Transfer,Transfer to *********-02S 09/22/2020 13:32 176443,SAFETY NET,debit,1,-692.2,Out
2020-09-24,2020-09-24,Transfer,INTERNET PAYMENT - THANK YOU,Discover,credit,1,-500.0,In
2020-09-24,2020-09-24,Transfer,Transfer from *********-02S 09/24/2020 14:28 219853,CHECKING,credit,1,-500.0,In
2020-09-24,2020-09-24,Transfer,Transfer from *********-09S 09/24/2020 07:20 209899,CREDIT CARD,credit,1,-400.0,In
2020-09-24,2020-09-24,Transfer,Transfer from *********-09S 09/24/2020 07:21 209910,SAFETY NET,credit,1,-736.92,In
2020-09-24,2020-09-24,Transfer,Transfer to *********-00S 09/24/2020 07:21 209910,CHECKING,debit,1,-736.92,Out
2020-09-24,2020-09-24,Transfer,Transfer to *********-02S 09/24/2020 07:20 209899,CHECKING,debit,1,-400.0,Out
2020-09-24,2020-09-24,Transfer,Transfer to *********-09S 09/24/2020 14:28 219853,CREDIT CARD,debit,1,-500.0,Out
2020-09-25,2020-09-25,Transfer,DISCOVER DESC: E-PAYMENT,CHECKING,debit,1,-500.0,Out
2020-09-25,2020-09-25,Transfer,Airbnb,Discover,credit,1,-792.03,In
2020-09-25,2020-09-25,Transfer,Transfer from *********-02S 09/25/2020 16:16 242452,CHECKING,credit,1,-192.2,In
2020-09-25,2020-09-25,Transfer,Transfer from *********-09S 09/25/2020 16:10 242276,EMERSYN,credit,1,-10.0,In
2020-09-25,2020-09-25,Transfer,Transfer from *********-09S 09/25/2020 16:43 243292,SAFETY NET,credit,1,-10.0,In
2020-09-25,2020-09-25,Transfer,Transfer to *********-00S 09/25/2020 16:43 243292,CHECKING,debit,1,-10.0,Out
2020-09-25,2020-09-25,Transfer,Transfer to *********-03S 09/25/2020 16:10 242276,CHECKING,debit,1,-10.0,Out
2020-09-25,2020-09-25,Transfer,Transfer to *********-09S 09/25/2020 16:16 242452,CREDIT CARD,debit,1,-192.2,Out
