annual_revenue,Month_on_Book,Branch_Trans_3_Mos,ATM_Trans_3_Mos,signon_trans_3_Mos,CC_Visits_3_Mos,VRU_visits_3_Mos,BP_trans_3_Mos,RDC_trans_3_Mos,Checking_flag,Savings_flag,Loans_LOC_flag,CreditCard_flag,CDs_flag,HELoans_HELOC_flag,MMDA_flag,Customer_Value,Gender_P1,Household_Age,Auto_Refinance,Credit_Card,Home_Equity_ITA,Click,Open,DV,Dwelling_Type_Business,Dwelling_Type_Condo,Dwelling_Type_MobileHome,Dwelling_Type_MultiFamilyUnit,Dwelling_Type_SingleFamily,Dwelling_Type_Unknown
1043,320,0,2,9,0,0,0,0,1,1,0,0,0,0,0,42065.0,1,6.0,0,1,0,0,1,1,0,0,0,0,1,0
649,321,0,17,89,0,0,8,0,1,1,1,1,0,0,0,5344.0,1,4.0,0,0,0,0,1,1,0,0,0,0,1,0
858,342,2,0,52,0,0,0,0,1,0,0,1,0,1,1,26421.0,1,6.0,0,1,0,0,0,1,0,0,0,0,1,0
2338,408,6,0,23,0,0,0,0,1,0,0,0,0,1,0,73949.0,1,6.0,0,0,1,0,1,1,0,0,0,0,1,0
64,317,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2764.0,1,2.0,0,1,0,0,0,0,0,0,0,1,0,0
2813,494,0,0,27,0,1,25,0,1,0,0,0,1,0,0,105219.0,0,5.0,0,0,0,0,0,1,0,0,0,0,1,0
330,538,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10986.0,0,7.0,0,1,0,0,0,0,0,0,0,0,1,0
0,513,0,0,76,1,1,19,0,1,0,0,1,0,0,0,12740.0,0,7.0,0,0,0,1,1,1,0,0,0,0,1,0
277,391,1,0,22,0,0,13,0,0,0,0,0,0,1,0,0.0,0,6.0,0,0,0,0,0,1,0,0,0,0,1,0
92,412,0,0,0,1,1,0,0,0,0,0,1,0,0,0,638.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,0
908,310,21,12,0,0,0,0,0,1,0,0,0,0,1,0,25983.0,0,3.0,0,0,0,0,1,0,0,0,0,0,1,0
1123,494,2,28,5,0,0,0,0,1,0,0,1,0,0,1,40095.0,0,3.0,0,0,0,0,0,1,0,1,0,0,0,0
222,593,6,0,0,0,2,0,0,1,0,0,1,0,1,1,22511.0,1,7.0,0,0,0,0,0,0,0,0,0,0,1,0
383,268,0,4,12,0,0,0,0,1,1,0,0,0,0,0,15957.0,0,3.0,0,1,0,0,0,1,0,0,0,0,1,0
537,319,6,8,478,1,0,27,0,1,0,1,1,0,0,1,24243.0,1,3.0,0,0,0,0,1,1,0,0,0,0,1,0
345,360,0,24,79,1,0,23,0,1,0,1,0,0,0,0,5881.0,1,6.0,0,1,0,1,1,1,0,0,0,0,1,0
274,283,8,174,506,4,35,0,0,1,0,0,0,0,0,0,44.0,1,6.0,0,0,0,0,0,1,0,0,0,1,0,0
91,586,0,12,284,0,0,0,2,1,0,0,0,0,1,0,2911.0,0,6.0,0,0,0,0,0,1,0,0,0,0,1,0
505,570,0,1,29,0,0,8,0,1,0,0,1,0,0,0,15294.0,1,6.0,0,0,0,0,0,1,0,0,0,0,1,0
536,391,0,0,9,0,0,0,0,0,0,0,0,0,0,1,176.0,1,5.0,0,1,0,0,1,1,0,0,0,0,1,0
461,321,19,0,4,0,0,0,0,1,0,0,0,0,0,0,15850.0,0,5.0,0,1,0,0,0,1,0,0,0,0,1,0
381,272,2,18,45,0,0,0,0,1,1,1,0,0,0,0,11631.0,1,3.0,0,0,0,0,1,1,0,0,0,1,0,0
731,366,2,5,76,1,1,0,0,1,0,1,1,0,0,1,13359.0,1,5.0,0,0,0,0,0,1,0,0,0,0,1,0
103,326,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0.0,0,7.0,0,0,0,0,0,1,0,0,0,0,1,0
1005,342,0,5,27,0,0,58,0,1,1,0,1,0,0,0,16450.0,0,5.0,0,0,0,0,0,1,0,0,0,0,1,0
759,344,1,1,85,0,0,0,0,1,1,0,1,0,0,0,7026.0,0,4.0,0,1,0,0,1,1,0,0,0,0,1,0
904,282,0,10,0,0,9,0,0,1,0,1,1,0,1,0,36701.0,0,3.0,0,1,0,0,0,1,0,0,0,0,1,0
4035,298,15,0,59,0,0,6,0,1,1,0,0,0,1,0,130128.0,0,6.0,0,0,0,0,1,1,0,0,0,0,1,0
1985,358,2,0,23,0,0,24,0,1,0,0,1,0,0,0,71084.0,1,7.0,0,1,0,0,1,1,0,0,0,0,1,0
730,362,1,0,29,0,0,0,0,1,0,1,0,0,1,0,25203.0,0,6.0,0,1,0,0,0,1,0,0,0,0,1,0
478,380,34,12,54,1,0,0,0,1,0,1,1,0,0,1,71841.0,1,6.0,0,0,0,0,0,1,0,0,0,0,1,0
1166,307,0,12,567,0,0,10,0,1,1,0,0,0,0,1,49210.0,0,2.0,0,0,0,0,0,1,0,0,0,0,1,0
703,346,2,13,0,0,0,0,0,1,0,1,0,0,1,0,40395.0,0,5.0,0,0,0,0,0,0,0,0,0,0,1,0
155,344,6,0,12,0,0,9,0,1,0,0,0,0,0,0,5435.0,1,7.0,0,1,0,0,0,1,0,0,0,0,1,0
1344,320,4,0,7,0,0,0,0,1,0,0,0,0,0,1,57283.0,0,6.0,0,0,0,0,1,1,0,0,0,0,1,0
917,276,0,0,8,0,0,0,0,1,0,0,1,0,0,0,29580.0,0,5.0,0,1,0,0,1,1,0,0,0,0,1,0
249,397,5,1,78,0,0,11,0,1,0,0,0,0,0,0,1867.0,0,7.0,0,0,0,0,0,1,0,1,0,0,0,0
1330,412,0,8,0,0,4,0,0,1,0,0,1,0,0,1,20587.0,1,4.0,0,0,0,0,1,0,0,0,0,0,1,0
